Date,DepartementID,Département,TypeTransaction,TypeDépense,Montant,Montant_Signe,Responsable,Client_Fournisseur,Projet,Année,Mois,Trimestre,AnnéeFiscale,JourSemaine,Semaine,JourAnnée,YearMonth
2026-03-01,,Non renseigné,Revenu,Transport,484.81,484.81,Non renseigné,Non renseigné,Sans projet,2026.0,3.0,1.0,2026.0,Sunday,9,60.0,2026-03
2026-03-02,,Non renseigné,Revenu,Factures,420.22,420.22,Non renseigné,Non renseigné,Sans projet,2026.0,3.0,1.0,2026.0,Monday,10,61.0,2026-03
2026-12-02,,Non renseigné,Revenu,Alimentation,358.33,358.33,Non renseigné,Non renseigné,Sans projet,2026.0,12.0,4.0,2026.0,Wednesday,49,336.0,2026-12
2026-06-01,,Non renseigné,Revenu,Autre,247.55,247.55,Non renseigné,Non renseigné,Sans projet,2026.0,6.0,2.0,2026.0,Monday,23,152.0,2026-06
2026-09-02,,Non renseigné,Revenu,Factures,211.83,211.83,Non renseigné,Non renseigné,Sans projet,2026.0,9.0,3.0,2026.0,Wednesday,36,245.0,2026-09
2026-06-02,,Non renseigné,Revenu,Factures,378.56,378.56,Non renseigné,Non renseigné,Sans projet,2026.0,6.0,2.0,2026.0,Tuesday,23,153.0,2026-06
2026-02-01,,Non renseigné,Revenu,Autre,280.52,280.52,Non renseigné,Non renseigné,Sans projet,2026.0,2.0,1.0,2026.0,Sunday,5,32.0,2026-02
2026-03-01,,Non renseigné,Revenu,Salaire,2315.0,2315.0,Non renseigné,Non renseigné,Sans projet,2026.0,3.0,1.0,2026.0,Sunday,9,60.0,2026-03
2026-06-02,,Non renseigné,Revenu,Alimentation,123.17,123.17,Non renseigné,Non renseigné,Sans projet,2026.0,6.0,2.0,2026.0,Tuesday,23,153.0,2026-06
2026-03-01,,Non renseigné,Revenu,Factures,53.88,53.88,Non renseigné,Non renseigné,Sans projet,2026.0,3.0,1.0,2026.0,Sunday,9,60.0,2026-03
2026-06-01,,Non renseigné,Revenu,Autre,417.22,417.22,Non renseigné,Non renseigné,Sans projet,2026.0,6.0,2.0,2026.0,Monday,23,152.0,2026-06
